id	Campylobacter	Clostridioides_difficile	Salmonella	Vibrio_cholerae	Yersinia_enterocolitica
Study_4580	NA	0.36	1.03	NA	NA
Study_4582	NA	0.66	0.53	NA	NA
Study_4586	NA	NA	NA	NA	NA
Study_4587	NA	1.04	1.59	NA	NA
Study_4590	NA	1.88	0.51	NA	NA
Study_4591	NA	0.34	NA	NA	NA
Study_4592	NA	0.68	NA	NA	NA
Study_4594	NA	NA	0.59	NA	NA
Study_4595	37.25	1.29	0.15	NA	NA
Study_4596	NA	0.11	NA	NA	NA
Study_4602	19.26	NA	5.32	NA	NA
Study_4604	NA	1.22	1.34	NA	NA
Study_4606	5.13	2.62	NA	NA	NA
Study_4607	NA	0.39	NA	NA	NA
Study_4608	NA	NA	NA	NA	NA
Study_4610	NA	0.51	0.26	NA	NA
Study_4614	5.9	0.2	21.3	NA	NA
Study_4631	NA	0.33	6.61	NA	NA
Study_4635	NA	0.48	0.22	NA	NA
Study_4640	NA	NA	NA	NA	NA
Study_4641	NA	NA	7.18	NA	NA
Study_4645	NA	5.98	NA	NA	NA
Study_4647	NA	0.54	0.86	NA	NA
Study_4650	NA	0.17	NA	NA	NA
Study_4651	NA	0.69	0.61	NA	NA
Study_4660	0.91	0.1	4.12	NA	NA
Study_4662	4.22	11.75	0.3	NA	NA
Study_4667	5.14	0.07	NA	NA	NA
Study_4672	NA	0.68	NA	NA	NA
Study_4674	NA	3	NA	NA	NA
Study_4679	NA	2.67	0.97	NA	NA
Study_4681	NA	0.29	NA	NA	NA
Study_4695	NA	NA	0.12	NA	NA
Study_4699	NA	0.35	NA	NA	NA
Study_4705	NA	1.86	NA	NA	NA
Study_4708	10.49	173	0.31	NA	NA
Study_4709	NA	NA	NA	NA	NA
Study_4718	1.29	0.09	NA	NA	NA
Study_4730	84.58	NA	6.39	NA	NA
Study_4734	5.07	0.17	1.57	NA	NA
Study_4743	9.44	NA	NA	NA	NA
Study_4764	NA	NA	NA	NA	NA
Study_4781	NA	0.9	1.13	NA	NA
Study_4784	7.93	5.7	1.02	NA	NA
Study_4785	NA	NA	NA	NA	NA
Study_4787	NA	0.43	0.28	NA	NA
Study_4793	NA	NA	0.21	NA	NA
Study_4797	NA	NA	2.56	NA	NA
Study_4802	1.51	0.08	2.41	NA	NA
Study_4805	NA	0.4	15.4	NA	NA
Study_4806	NA	1.67	NA	NA	NA
Study_4807	NA	0.21	2.64	NA	NA
Study_4810	NA	0.14	NA	NA	NA
Study_4812	56.01	8	0.31	NA	NA
Study_4814	14.74	2.45	0.44	NA	NA
Study_4816	NA	0.95	NA	NA	NA
Study_4819	5.37	0.48	1.9	NA	NA
Study_4859	NA	NA	NA	NA	NA
Study_4871	NA	0.07	NA	NA	NA
Study_4876	NA	NA	NA	NA	NA
Study_4879	NA	NA	0.26	NA	NA
Study_4883	4.29	0.13	1.25	NA	NA
Study_4889	NA	0.19	NA	NA	NA
Study_4890	NA	NA	1.05	NA	NA
Study_4892	NA	0.65	NA	NA	NA
Study_4896	NA	0.06	NA	NA	NA
Study_4906	NA	0.29	0.06	NA	NA
Study_4909	NA	1.45	0.04	NA	NA
Study_4918	NA	0.19	NA	NA	NA
Study_4922	NA	NA	0.29	NA	NA
Study_4923	NA	32.45	0.36	NA	NA
Study_4926	NA	0.13	NA	NA	NA
Study_4928	NA	0.07	NA	NA	NA
Study_4931	NA	0.14	NA	NA	NA
Study_4936	7.83	1.68	NA	NA	NA
Study_4938	NA	0.06	2.18	NA	NA
Study_4943	196.94	0.14	NA	NA	NA
Study_4947	NA	0.18	2.78	NA	NA
Study_4950	NA	5.56	NA	NA	NA
Study_4953	NA	NA	NA	NA	NA
Study_4954	23.79	23.71	NA	NA	NA
Study_4956	NA	NA	NA	NA	NA
Study_4957	NA	0.19	0.96	NA	NA
Study_4961	NA	1.04	NA	NA	NA
Study_4967	NA	0.32	NA	NA	NA
Study_4981	NA	1.27	NA	NA	NA
Study_4987	NA	3.18	NA	NA	NA
Study_5002	NA	NA	NA	NA	NA
Study_5005	NA	0.17	NA	NA	NA
Study_5006	NA	0.14	NA	NA	NA
Study_5009	NA	1.16	NA	NA	NA
Study_5018	4.1	0.16	4.68	NA	NA
Study_5019	NA	0.23	NA	NA	NA
Study_5021	NA	0.89	NA	NA	NA
Study_5027	2.76	0.55	2.22	NA	NA
Study_5028	3.43	0.28	1.15	NA	NA
Study_5035	9.77	0.09	2.46	NA	NA
Study_5037	NA	1.11	0.56	NA	NA
Study_5038	NA	NA	NA	NA	NA
Study_5039	NA	NA	1.97	NA	NA
Study_5044	NA	NA	0.17	NA	NA
Study_5046	18.93	1.76	0.69	NA	NA
Study_5047	4.04	NA	0.32	NA	NA
Study_5051	5.09	1.31	0.14	NA	NA
Study_5052	31.72	12.06	0.12	NA	NA
Study_5054	0.41	29.01	NA	NA	NA
Study_5067	1.7	1.38	0.52	NA	NA
Study_5076	NA	0.32	0.35	NA	NA
Study_5080	NA	8.99	0.51	NA	NA
Study_5086	NA	0.14	NA	NA	NA
Study_5087	1.07	0.93	NA	NA	NA
Study_5088	NA	0.04	NA	NA	NA
Study_5090	NA	0.03	1.85	NA	NA
Study_5092	NA	2.38	35.67	NA	NA
Study_5098	NA	4.9	0.4	NA	NA
Study_5100	NA	0.42	NA	NA	NA
Study_5104	NA	0.3	8.67	NA	NA
Study_5106	NA	1.89	1.29	NA	NA
Study_5107	NA	0.6	NA	NA	NA
Study_5109	NA	0.28	NA	NA	NA
Study_5110	NA	NA	NA	NA	NA
Study_5113	NA	0.88	1.46	NA	NA
Study_5114	NA	0.16	7.14	NA	NA
Study_5118	NA	0.73	NA	NA	NA
Study_5120	NA	35.1	0.55	NA	NA
Study_5125	NA	NA	NA	NA	NA
Study_5127	NA	NA	0.45	NA	NA
Study_5128	NA	0.43	NA	NA	NA
Study_5135	4.18	NA	0.55	NA	NA
Study_5137	NA	0.05	4.78	NA	NA
Study_5139	NA	1.05	0.68	NA	NA
Study_5168	2.64	0.99	0.43	NA	NA
Study_5181	89.18	0.16	NA	NA	NA
Study_5183	NA	NA	0.75	NA	NA
Study_5185	0.6	0.73	0.41	NA	NA
Study_5189	NA	0.17	NA	NA	NA
Study_5190	NA	0.32	7.21	NA	NA
Study_5195	NA	0.54	NA	NA	NA
Study_5208	23.27	NA	0.29	NA	NA
Study_5209	2.94	1.04	NA	NA	NA
Study_5215	NA	NA	1.18	NA	NA
Study_5221	NA	2.81	NA	NA	NA
Study_5222	NA	0.6	NA	NA	NA
Study_5225	NA	NA	0.21	NA	NA
Study_5226	NA	0.47	9.7	NA	NA
Study_5230	NA	NA	0.17	NA	NA
Study_5233	NA	0.78	NA	NA	NA
Study_5236	NA	0.38	NA	NA	NA
Study_5238	NA	0.31	NA	NA	NA
Study_5240	NA	NA	NA	NA	NA
Study_5241	NA	0.27	NA	NA	NA
Study_5244	NA	1.3	0.71	NA	NA
Study_5246	NA	0.57	NA	NA	NA
Study_5255	4.77	0.29	4.62	NA	NA
Study_5257	2.51	0.3	NA	NA	NA
Study_5258	NA	NA	0.14	NA	NA
Study_5261	NA	0.05	1.47	NA	NA
Study_5265	NA	0.08	NA	NA	NA
Study_5268	NA	NA	0.62	NA	NA
Study_5277	395.8	NA	NA	NA	NA
Study_5279	NA	NA	NA	NA	NA
Study_5282	NA	NA	0.89	NA	NA
Study_5285	56.87	0.35	NA	NA	NA
Study_5288	NA	0.14	NA	NA	NA
Study_5289	NA	NA	0.63	NA	NA
Study_5295	NA	NA	0.43	NA	NA
Study_5298	NA	0.21	NA	NA	NA
Study_5301	NA	0.2	NA	NA	NA
Study_5303	NA	1.58	NA	NA	NA
Study_5304	NA	1.65	9.59	NA	NA
Study_5308	10.22	NA	NA	NA	NA
Study_5309	28.19	0.29	1.45	NA	NA
Study_5310	NA	NA	0.87	NA	NA
Study_5316	NA	0.32	2.48	NA	NA
Study_5320	NA	0.34	44.59	NA	NA
Study_5321	7.46	2.87	0.81	NA	NA
Study_5323	NA	NA	NA	NA	NA
Study_5325	NA	0.21	0.54	NA	NA
Study_5328	2.73	NA	0.25	NA	NA
Study_5329	NA	4.82	NA	NA	NA
Study_5332	NA	NA	NA	NA	NA
Study_5333	NA	NA	24.61	NA	NA
Study_5334	NA	0.13	NA	NA	NA
Study_5335	NA	NA	0.46	NA	NA
Study_5339	NA	1.5	0.03	NA	NA
Study_5344	NA	1	3.84	NA	NA
Study_5350	18.84	0.47	NA	NA	NA
Study_5365	NA	NA	NA	NA	NA
Study_5366	3.4	0.11	1.35	NA	NA
Study_5371	NA	NA	0.32	NA	NA
Study_5373	32.73	NA	0.21	NA	NA
Study_5374	NA	2.48	0.45	NA	NA
Study_5375	NA	1.19	3.01	NA	NA
Study_5378	NA	0.16	NA	NA	NA
Study_5380	NA	NA	NA	NA	NA
Study_5381	NA	1.13	NA	NA	NA
Study_5387	NA	0.19	NA	NA	NA
Study_5388	NA	0.39	23.63	NA	NA
Study_5389	NA	2	NA	NA	NA
Study_5392	NA	NA	39.44	NA	NA
Study_5393	NA	0.03	19.63	NA	NA
Study_5407	NA	2.57	NA	NA	NA
Study_5418	NA	9.19	0.23	NA	NA
Study_5419	NA	NA	1.95	NA	NA
Study_5433	10.56	0.69	0.29	NA	NA
Study_5434	NA	NA	0.6	NA	NA
Study_5435	NA	NA	NA	NA	NA
Study_5440	NA	0.9	1.03	NA	NA
Study_5458	NA	17.22	0.37	NA	NA
Study_5464	NA	NA	NA	NA	NA
Study_5472	NA	3.3	NA	NA	NA
Study_5489	NA	6.7	3.17	NA	NA
Study_5494	NA	NA	0.29	NA	NA
Study_5502	1.1	2.17	0.32	NA	NA
Study_5536	NA	36.47	0.34	NA	NA
Study_5537	NA	0.3	NA	NA	NA
Study_5539	NA	NA	0.07	NA	NA
Study_5541	9.36	1.19	1.09	NA	NA
Study_5542	NA	32.11	NA	NA	NA
Study_5555	NA	NA	NA	NA	NA
Study_5564	NA	0.77	NA	NA	NA
Study_5607	NA	0.07	8.88	NA	NA
Study_5620	6.63	NA	NA	NA	NA
Study_5622	NA	0.4	0.26	NA	NA
Study_5624	NA	NA	NA	NA	NA
Study_5638	NA	0.08	NA	NA	NA
Study_5641	NA	0.41	NA	NA	NA
Study_5642	NA	0.08	2.48	NA	NA
Study_5645	NA	NA	3.16	NA	NA
Study_5649	NA	3.84	1.87	NA	NA
Study_5652	NA	2.17	NA	NA	NA
Study_5654	NA	NA	0.37	NA	NA
Study_5659	NA	3.41	1.89	NA	NA
Study_5668	8.08	0.44	0.25	NA	NA
Study_5670	NA	6.6	NA	NA	NA
Study_5671	11.15	1.35	NA	NA	NA
Study_5675	NA	NA	0.28	NA	NA
Study_5690	NA	NA	0.45	NA	NA
Study_5692	NA	19.63	NA	NA	NA
Study_5696	NA	0.63	NA	NA	NA
Study_5708	NA	0.13	NA	NA	NA
Study_5709	NA	0.99	6.82	NA	NA
Study_5713	2.76	3.23	0.73	NA	NA
Study_5717	28.72	1.33	4.16	NA	NA
Study_5734	NA	0.4	0.56	NA	NA
Study_5750	NA	1.89	NA	NA	NA
Study_5751	NA	NA	0.37	NA	NA
Study_5757	NA	0.6	NA	NA	NA
Study_5758	5.53	0.95	0.18	NA	NA
Study_5779	NA	NA	NA	NA	NA
Study_5792	NA	2.45	0.11	NA	NA
Study_5841	NA	0.61	NA	NA	NA
Study_5846	NA	0.04	NA	NA	NA
Study_6004	5.3	NA	1.35	NA	NA
Study_6009	29.99	NA	6.55	NA	NA
Study_6010	NA	0.26	NA	NA	NA
Study_6011	NA	1.11	NA	NA	NA
Study_6013	NA	0.36	NA	NA	NA
Study_6057	NA	NA	2.06	NA	NA
Study_6058	NA	0.23	NA	NA	NA
Study_6113	NA	0.05	NA	NA	NA
Study_6114	NA	2.87	0.34	NA	NA
Study_6126	NA	0.37	NA	NA	NA
Study_6142	NA	0.3	NA	NA	NA
Study_6158	NA	0.13	NA	NA	NA
Study_6162	NA	2.2	1.21	NA	0.6
Study_6163	NA	NA	0.89	NA	NA
Study_6165	NA	NA	NA	NA	NA
Study_6167	NA	0.04	0.18	NA	NA
Study_6169	NA	1.4	23.97	NA	NA
Study_6172	NA	3.04	NA	NA	NA
Study_6174	NA	0.71	NA	NA	NA
Study_6176	NA	NA	0.54	NA	NA
Study_6180	115.87	0.1	NA	NA	NA
Study_6190	NA	0.48	NA	NA	NA
Study_6229	NA	11.11	1.01	NA	NA
Study_6233	5.49	NA	0.4	NA	NA
Study_6262	NA	NA	3.35	NA	NA
Study_6267	NA	0.11	3.8	NA	NA
Study_6276	2.68	0.11	0.05	NA	NA
Study_6293	NA	NA	2.79	NA	NA
Study_6303	3.56	0.2	0.02	NA	NA
Study_6338	4.41	NA	2.44	NA	NA
Study_6354	NA	0.34	NA	NA	NA
Study_6368	NA	0.65	25.08	NA	NA
Study_6387	8.74	31.28	NA	NA	NA
Study_6395	18.68	0.16	0.08	NA	NA
Study_6457	16.04	NA	0.57	NA	NA
Study_6558	NA	1.56	NA	NA	NA
Study_6602	NA	0.16	NA	NA	NA
Study_6605	NA	1.05	0.71	NA	0.78
Study_6640	NA	0.24	NA	NA	NA
Study_6643	NA	0.07	NA	NA	NA
Study_6686	NA	0.22	NA	NA	NA
Study_6714	38.48	NA	0.13	NA	NA
Study_6717	NA	0.17	0.14	NA	NA
Study_6726	NA	0.72	NA	NA	NA
Study_6795	NA	3.78	NA	NA	NA
Study_6863	NA	0.68	NA	NA	NA
Study_6872	NA	0.32	NA	NA	NA
Study_6889	32.34	16.43	0.04	NA	NA
Study_6890	NA	0.28	0.03	NA	NA
Study_6893	NA	NA	0.58	NA	NA
Study_6900	NA	2.8	0.5	NA	1.46
Study_6911	NA	NA	NA	NA	NA
Study_6912	NA	0.09	8.08	NA	NA
Study_6916	NA	1.72	4	NA	NA
Study_6920	NA	0.41	NA	NA	NA
Study_6928	NA	10.27	1.57	NA	NA
Study_6929	NA	17.05	1.28	NA	NA
Study_6935	NA	1.29	NA	NA	NA
Study_6939	NA	1.87	NA	NA	NA
Study_6941	NA	NA	2.69	NA	NA
Study_6942	1.77	4.32	2.07	NA	NA
Study_6947	6.96	0.49	NA	NA	NA
Study_6951	NA	0.43	NA	NA	NA
Study_6954	19.67	NA	0.25	NA	NA
Study_6955	NA	4.34	NA	NA	NA
Study_6974	NA	0.04	NA	NA	NA
Study_6980	NA	6.05	5.6	NA	NA
Study_6985	NA	1.24	0.73	NA	NA
Study_6989	NA	NA	7.62	NA	NA
Study_6990	NA	0.43	NA	NA	NA
Study_7077	NA	1.87	NA	NA	NA
Study_7082	2.83	2.61	1.05	NA	NA
Study_7084	3.3	4.67	3.28	NA	NA
Study_7100	NA	0.11	NA	NA	NA
Study_7101	NA	NA	0.3	NA	NA
Study_7103	NA	0.41	0.43	NA	NA
Study_7104	11.96	0.64	NA	NA	NA
Study_7107	NA	0.16	NA	NA	NA
Study_7108	NA	3	0.85	NA	NA
Study_7119	5.65	0.02	0.21	NA	NA
Study_7158	3.98	0.14	4.63	NA	NA
Study_7167	NA	263.89	NA	NA	NA
Study_7168	NA	2.04	16.76	NA	NA
Study_7169	1.84	NA	3.09	NA	NA
Study_7176	NA	NA	1.24	NA	NA
Study_7188	NA	1.33	4.95	NA	NA
Study_7192	NA	0.16	NA	NA	NA
Study_7197	NA	3.67	0.42	NA	NA
Study_7228	2.03	0.05	0.22	NA	NA
Study_7232	NA	0.73	NA	NA	NA
Study_7233	NA	NA	NA	NA	NA
Study_7270	NA	43.73	0.03	NA	NA
Study_7279	NA	NA	NA	NA	NA
Study_7283	NA	NA	0.94	NA	NA
Study_7297	15.34	NA	0.55	NA	NA
Study_7345	NA	0.38	NA	NA	NA
Study_7435	NA	1.15	8.59	NA	NA
Study_7680	4.56	0.28	1.55	NA	NA
Study_7682	NA	0.04	0.07	NA	NA
Study_7708	NA	0.51	NA	NA	NA
Study_7717	1.05	11.08	0.14	NA	NA
Study_8184	NA	NA	0.83	NA	NA
Study_8254	NA	0.98	NA	NA	NA
